date,cycle,subsystem,phase,net_score,prod_fixes,new_failure_modes,category_d_ratio,axis_b_lowest,notes,defensive_count
2026-06-03,1,Interactive Console (HTML) + Tooling,reflect,1,2,1,,,"F01-F03 from first broad-scan; reflect prompt now emits Cycle Summary Block, regression gained Verify/deploy notes, guard pins HTML prompt-behavior parity"
2026-06-03,1,Interactive Console (HTML) + Tooling,reflect,1,1,0,,,"F04 HTML-JS test harness (check-html.mjs) wired into Test Command + CI; F05 esc() escaping + fixed broken archive Copy-content onclick (real latent bug)"
2026-06-04,1,all (cycle synthesis),synthesis,2,2,0,33%,Guard / Test Coverage Quality (6.5),"Cycle 1 synthesis: overall 7.9/10; 0 regressions; lowest Axis B = Test Coverage Quality; no policy triggers (first measurement)"
2026-06-04,2,Tooling & Sync Infra + Interactive Console (HTML),reflect,0,0,0,,,"Cycle 2 (test-coverage priority): added tests/guard.test.mjs (F03 guard logic) + storageWarn assertion (F06), wired into Test Command + CI; Category D for Cycle-1 fixes now ~17% (under the 25% gate); INV-21, INV-22 added"
2026-06-04,2,Tooling & Sync Infra + Templates,reflect,0,0,0,,,"Roadmap R4 (/cycle-init), R5 (VERSION+CHANGELOG+sync-commands version report; INV-23), R10 (estimates.csv + /reflect calibration step) shipped at v1.0.0; R3 (FSA state-store convergence) stopped — browser-only, unverifiable headless"
2026-06-04,2,Tooling & Sync Infra,reflect,0,0,0,,,"Roadmap R6 (SessionStart context hook), R2 (metrics report renderer), R14 (added to roadmap) shipped at v1.1.0; both new tools have regression tests in Test Command + CI; render-metrics arg-parsing bug caught by its test pre-commit"
2026-06-04,2,Tooling & Sync Infra,reflect,0,0,0,,,"Roadmap R9 (executable invariant runner scripts/invariant-check.mjs) shipped at v1.2.0; runs command-style Verify fields (PASS/FAIL), prose as MANUAL; 12/12 runnable invariants pass on this repo; tests/invariant-check.test.mjs (INV-26)"
2026-06-04,2,Tooling & Sync Infra,reflect,0,0,0,,,"Roadmap R8 (cross-project portfolio dashboard scripts/portfolio.mjs) shipped at v1.3.0; tests/portfolio.test.mjs (INV-27); arg/regex bug caught by manual run pre-test. R3 + R14 stopped (browser-only / lossy-transform design decision) with plans in STATE"
2026-06-04,2,Tooling & Sync Infra + Interactive Console (HTML),reflect,0,0,0,,,"R14(a) phase1: transform engine + drift report scripts/gen-html-prompts.mjs (INV-28); drift measured 0-39% overlap / 173 canonical lines absent. R3 draft: File System Access sync in console (headless-safe, unverified in browser). v1.4.0. Both have a browser-verified step remaining"
2026-06-04,2,Interactive Console (HTML) + Tooling,reflect,1,1,0,,,"R14 finished (headless): console §-prompts now generated from CLAUDE.md (--write) + locked by --assert in Test Command/CI (INV-29) — retires the fourth-copy drift class. R3 hardened: IndexedDB handle persistence + permission checks + auto-reconnect + headless fallback test (INV-30). v1.5.0. Browser render (R14) + FSA flow (R3) remain operator-verified"
2026-06-04,3,Canonical Templates & Docs,reflect,2,2,0,,,"Downstream field proposals v1.6.0: P1 (metrics ownership double-count footgun), P5 (Batch 2 lost in fresh session), P8 (test-vs-prod-path probe), P9 (pre-flight test-double scan). P1+P5 fix real footguns; P8/P9 preventive. No block-schema change → no paste-compat break. Console prompts regenerated; --assert green"
2026-06-04,3,Canonical Templates & Docs,reflect,1,1,0,,,"P7 v1.7.0: OPERATOR ACTIONS field across handoff/summary blocks (subsumes DEPLOY STEP -> OPERATOR ACTIONS / DEPLOY). First-class slot for Operator-Only State Gaps (Axis B). BLOCK-SCHEMA change → downstream re-pull (backward-tolerant). Guard marker + Handoff Block Formats ref updated; console p1/p2/p3 regenerated; --assert green"
2026-06-04,3,Canonical Templates & Docs,reflect,1,1,0,,,"P2+P3 v1.8.0: finding IDs declared session-local; INV-N assigned from library max (collision fix); cycle-number single source of truth (STATE.md Cycle) + increment rule, /reflect stamps metrics cycle from it. No block-schema change. Console p1/p3 regenerated; --assert green"
2026-06-04,3,Canonical Templates & Docs,reflect,0,0,0,,,"P11 v1.9.0: defensive_count secondary metric (appended last, backward-compat); /reflect writes it, render-metrics surfaces it; net_score stays strict. Dogfood: this row is defensive/structural → net 0 but defensive_count 1, exactly the visibility P11 adds",1
